,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
0,0.0,0.0,0.0,6943800.0,16874000.0,16660000.0
1,0.0,28.6,28.6,347180000.0,57966000.0,34091000.0
2,7618100000.0,966260000.0,812890000.0,1904300000.0,2087000000.0,735540000.0
3,0.0,2.9,2.9,2.9,2.9,2.9
4,6139400.0,29568000.0,478570000.0,321910000.0,423610000.0,0.0
5,26280000.0,27199000.0,26679000.0,35709000.0,35169000.0,33595000.0
6,1062700000.0,1101700000.0,1349900000.0,1488500000.0,1139000000.0,1086000000.0
7,725790000.0,730500000.0,818520000.0,844120000.0,856970000.0,818760000.0
8,65531000.0,55699000.0,81275000.0,96844000.0,68704000.0,96062000.0
9,18273000.0,17580000.0,23400000.0,18805000.0,16402000.0,17038000.0
10,211320000.0,206770000.0,213290000.0,535030000.0,639690000.0,666390000.0
11,0.0,0.0,0.0,0.0,0.0,5701600.0
12,0.0,0.0,0.0,0.0,3238200.0,0.0
13,167410000.0,135800000.0,188710000.0,276030000.0,127480000.0,194500000.0
14,14200000.0,14748000.0,16027000.0,19250000.0,28561000.0,15639000.0
15,16363000.0,11415000.0,13560000.0,38951000.0,40089000.0,47177000.0
16,0.0,0.0,0.0,0.0,0.0,6481300.0
17,0.0,0.0,4081300.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,163230000.0,182130000.0,245190000.0,268780000.0,180830000.0,166170000.0
20,14221000.0,11466000.0,17213000.0,8352100.0,8073300.0,6354100.0
21,0.0,0.0,0.0,0.0,0.0,7819400.0
22,0.0,0.0,42359000.0,0.0,0.0,0.0
23,130370000.0,120270000.0,175160000.0,177120000.0,144250000.0,143570000.0
24,198230000.0,473540000.0,1155200000.0,496620000.0,706930000.0,228340000.0
25,0.0,0.0,0.0,15036000.0,0.0,0.0
26,237730000.0,203280000.0,236880000.0,243950000.0,239310000.0,253410000.0
27,37165000.0,35665000.0,39699000.0,42513000.0,51638000.0,40171000.0
28,14435000.0,21323000.0,33092000.0,8912700.0,30152000.0,21787000.0
29,0.0,0.0,0.0,0.0,0.0,8001500.0
30,0.0,0.0,0.0,0.0,0.0,13446000.0
31,1024200000.0,984170000.0,1119900000.0,1673600000.0,1229200000.0,1200800000.0
32,26381000.0,25421000.0,40771000.0,0.0,13640000.0,65279000.0
33,0.0,0.0,0.0,0.0,0.0,22.4
34,0.0,24082000.0,25795000.0,24817000.0,17620000.0,23867000.0
35,221570000.0,198040000.0,196500000.0,125320000.0,156530000.0,192830000.0
36,55953000.0,63457000.0,102300000.0,239890000.0,84798000.0,73534000.0
37,10083000.0,11111000.0,15243000.0,39038000.0,19572000.0,18229000.0
38,0.0,0.0,0.0,0.0,0.0,3472800.0
39,0.0,0.0,11496000.0,0.0,0.0,0.0
40,0.0,0.0,1890100.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,13739000.0,0.0
42,411830000.0,420820000.0,448550000.0,0.0,467070000.0,0.0
43,807290000.0,754410000.0,781810000.0,891980000.0,853770000.0,864630000.0
44,12726000.0,11478000.0,15915000.0,11496000.0,8848100.0,5656200.0
45,0.0,0.0,0.0,0.0,0.0,7084700.0
46,110900000.0,98109000.0,103420000.0,86711000.0,96379000.0,70178000.0
47,32095000.0,116000000.0,247620000.0,76664000.0,134120000.0,43845000.0
48,0.0,0.0,0.0,0.0,0.0,14340000.0
49,25226000.0,0.0,22633000.0,0.0,27254000.0,25584000.0
50,15029000.0,19598000.0,19883000.0,23154000.0,19650000.0,24865000.0
51,119450000.0,124820000.0,105810000.0,89349000.0,88852000.0,72200000.0
52,0.0,0.0,0.0,0.0,0.0,36190000.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,107640000.0,95860000.0,148210000.0,100800000.0,80655000.0,88562000.0
55,166680000.0,158000000.0,221590000.0,0.0,20045000.0,21243000.0
56,293830000.0,293510000.0,302290000.0,168540000.0,184720000.0,170500000.0
57,67020000.0,139950000.0,128300000.0,43397000.0,106280000.0,75683000.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,13596000.0
60,36.8,36.8,8498600000.0,756810000.0,679160000.0,1489600000.0
61,608010000.0,249020000.0,191630000.0,282880000.0,426760000.0,259920000.0
62,28228000.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,16100000.0,0.0
64,13090000.0,0.0,0.0,0.0,0.0,0.0
65,61857000.0,69103000.0,81716000.0,38201000.0,33934000.0,38530000.0
66,0.0,0.0,0.0,0.0,0.0,1818000.0
67,0.0,0.0,0.0,0.0,0.0,66875000.0
68,0.0,0.0,14460000.0,0.0,0.0,0.0
69,5277200.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,1373200.0,0.0,0.0
71,160090000.0,106270000.0,79953000.0,56675000.0,166220000.0,54065000.0
72,8.8,12.3,305320000.0,23670000.0,23322000.0,56991000.0
73,14.0,26.0,0.0,34.698,0.0,0.0
74,26917000.0,34330000.0,25374000.0,18633000.0,55468000.0,56515000.0
160,0.0,32.6,32.6,32.6,34.0,32.6
161,0.0,0.0,239690000.0,0.0,0.0,0.0
162,76352000.0,72066000.0,72979000.0,47387000.0,48769000.0,50133000.0
163,34624000.0,41914000.0,35350000.0,25769000.0,39770000.0,46029000.0
164,37499000.0,26862000.0,37146000.0,58989000.0,46724000.0,35916000.0
165,0.0,0.0,0.0,0.0,51706000.0,0.0
166,2744000000.0,1408100000.0,1407800000.0,1748200000.0,1620800000.0,1431400000.0
167,334730000.0,313320000.0,387910000.0,376720000.0,334030000.0,343350000.0
168,0.0,0.0,0.0,9492900.0,14503000.0,9437700.0
169,459190000.0,387160000.0,605930000.0,894420000.0,659710000.0,617300000.0
170,1221300000.0,1170800000.0,1388300000.0,398040000.0,451620000.0,471840000.0
171,1514500000.0,3729400000.0,2953400000.0,1321400000.0,1997600000.0,1391700000.0
172,4954000000.0,5006200000.0,4742400000.0,959480000.0,973680000.0,983760000.0
173,311830000.0,304920000.0,309110000.0,200250000.0,274800000.0,282010000.0
174,81954000.0,106760000.0,103180000.0,86012000.0,91868000.0,90963000.0
175,905790000.0,825320000.0,885210000.0,730970000.0,686180000.0,660530000.0
176,1670600000.0,1409100000.0,1777200000.0,1578600000.0,1321900000.0,1487800000.0
177,0.0,0.0,0.0,0.0,0.0,7424200.0
178,296750000.0,313170000.0,315840000.0,154050000.0,149950000.0,151980000.0
179,0.0,20448000.0,35539000.0,0.0,0.0,29040000.0
180,952440000.0,1084900000.0,814950000.0,697700000.0,1051500000.0,1146800000.0
181,565670000.0,565340000.0,543990000.0,724240000.0,640060000.0,699680000.0
182,87418000.0,95708000.0,95232000.0,41883000.0,32781000.0,27082000.0
183,521550000.0,214140000.0,182190000.0,311860000.0,438100000.0,266150000.0
184,17324000.0,19749000.0,39018000.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,10615000.0
186,3656900000.0,3704800000.0,3960000000.0,3332700000.0,3075200000.0,3039300000.0
187,2329000000.0,2603000000.0,2514600000.0,2941600000.0,2324100000.0,2211200000.0
188,248200000.0,195390000.0,236930000.0,150910000.0,202800000.0,217930000.0
189,348310000.0,359830000.0,281120000.0,0.0,139740000.0,191840000.0
190,86047000.0,86263000.0,88907000.0,81084000.0,84201000.0,81700000.0
191,16443000.0,10799000.0,27700000.0,25277000.0,34494000.0,21374000.0
192,1207300000.0,1203600000.0,1110700000.0,753950000.0,1053900000.0,947320000.0
193,1064900000.0,1065500000.0,1077700000.0,1281200000.0,1148000000.0,1075300000.0
194,65034000.0,211090000.0,209820000.0,85932000.0,193080000.0,78935000.0
195,315630000.0,326360000.0,297180000.0,384670000.0,407290000.0,359200000.0
196,381360000.0,388210000.0,423700000.0,255560000.0,206090000.0,198210000.0
197,9818200000.0,10215000000.0,9074600000.0,7513500000.0,8293500000.0,8085200000.0
198,2155300000.0,2097900000.0,2450100000.0,2178300000.0,2085700000.0,1747100000.0
199,33909000.0,27956000.0,30334000.0,137670000.0,162210000.0,110250000.0
200,0.0,0.0,0.0,4669300.0,0.0,0.0
201,865460000.0,293230000.0,242370000.0,297520000.0,466070000.0,429960000.0
202,9023800.0,11849000.0,13414000.0,11755000.0,0.0,0.0
203,44953000.0,37935000.0,46471000.0,25483000.0,42681000.0,35437000.0
204,29631000.0,33593000.0,30607000.0,25961000.0,23802000.0,25660000.0
205,139040000.0,152190000.0,225020000.0,25156000.0,41847000.0,61153000.0
206,3898600000.0,3214100000.0,4249200000.0,8538500000.0,7596400000.0,8065400000.0
207,564230000.0,144480000.0,138800000.0,181700000.0,390880000.0,333620000.0
208,32134000.0,41907000.0,35966000.0,18536000.0,18099000.0,19380000.0
209,255870000.0,303450000.0,214800000.0,398370000.0,276750000.0,323710000.0
210,687130000.0,747440000.0,558290000.0,953600000.0,976750000.0,955340000.0
211,1650900000.0,1738100000.0,2174800000.0,2691800000.0,2172800000.0,2039600000.0
212,239410000.0,265660000.0,279320000.0,390500000.0,210640000.0,204740000.0
213,515880000.0,494040000.0,545190000.0,476720000.0,369360000.0,363290000.0
214,24166000.0,23567000.0,22872000.0,0.0,0.0,0.0
215,36075000.0,90122000.0,85288000.0,85299000.0,89501000.0,40246000.0
216,114890000.0,129780000.0,98014000.0,104820000.0,129380000.0,169400000.0
217,0.0,0.0,0.0,80124000.0,80121000.0,63727000.0
218,95539000.0,25787000.0,6376800.0,13881000.0,41311000.0,33696000.0
219,7569100.0,0.0,0.0,0.0,0.0,0.0
220,78215000.0,91282000.0,82468000.0,191140000.0,84146000.0,91750000.0
221,0.0,0.0,3056700.0,0.0,0.0,0.0
222,62128000.0,43063000.0,43782000.0,74369000.0,43857000.0,38634000.0
223,323150000.0,360480000.0,282820000.0,257380000.0,230320000.0,242220000.0
224,1612200000.0,1546400000.0,1842000000.0,1578100000.0,1445000000.0,1277700000.0
225,0.0,23618000.0,0.0,0.0,0.0,0.0
