Genome ID	MIC
573.13656	6
573.13657	1
573.13658	6
573.13659	6
573.13660	6
573.13661	6
573.13662	6
573.13663	6
573.13664	6
573.13665	8
573.13666	6
573.13667	6
573.13668	6
573.13669	6
573.13670	1
573.13671	6
573.13672	6
573.13673	6
573.13674	6
573.13675	6
573.13676	1
573.13677	6
573.13678	6
573.13679	6
573.13680	1
573.13681	6
573.13682	0
573.13683	6
573.13684	0
573.13685	8
573.13686	6
573.13687	6
573.13688	6
573.13689	6
573.13690	1
573.13691	8
573.13692	6
573.13693	6
573.13694	6
573.13695	6
573.13696	6
573.13697	6
573.13698	6
573.13699	1
573.13700	6
573.13701	6
573.13702	6
573.13703	6
573.13704	6
573.13705	6
573.13706	8
573.13707	0
573.13708	6
573.13709	6
573.13710	6
573.13711	6
573.13712	6
573.13713	6
573.13714	6
573.13715	1
573.13716	6
573.13717	6
573.13718	6
573.13719	6
573.13720	6
573.13721	1
573.13722	6
573.13723	6
573.13724	6
573.13725	1
573.13726	6
573.13727	6
573.13728	6
573.13729	6
573.13730	6
573.13731	6
573.13732	6
573.13733	6
573.13734	6
573.13735	6
573.13736	6
573.13737	6
573.13738	6
573.13739	6
573.13740	6
573.13741	6
573.13742	6
573.13743	1
573.13744	6
573.13745	6
573.13746	6
573.13747	6
573.13748	6
573.13749	1
573.13750	0
573.13751	6
573.13752	0
573.13753	6
573.13754	6
573.13755	6
573.13756	1
573.13757	6
573.13758	6
573.13759	1
573.13760	6
573.13761	6
573.13762	6
573.13763	6
573.13764	6
573.13765	1
573.13766	6
573.13767	6
573.13768	6
573.13769	8
573.13770	6
573.13771	6
573.13772	6
573.13773	8
573.13774	6
573.13775	6
573.13777	6
573.13778	1
573.13779	6
573.13780	6
573.13781	1
573.13782	6
573.13783	6
573.13784	1
573.13785	6
573.13786	6
573.13787	6
573.13788	8
573.13789	6
573.13790	8
573.13791	6
573.13792	6
573.13793	1
573.13794	6
573.13795	6
573.13796	1
573.13797	1
573.13798	1
573.13799	6
573.13800	6
573.13801	6
573.13802	1
573.13803	1
573.13804	6
573.13805	6
573.13806	1
573.13807	6
573.13808	1
573.13809	6
573.13810	6
573.13811	6
573.13812	6
573.13813	6
573.13814	6
573.13815	6
573.13816	6
573.13817	6
573.13818	6
573.13819	8
573.13820	6
573.13821	6
573.13822	6
573.13823	6
573.13824	1
573.13825	6
573.13826	6
573.13827	6
573.13828	6
573.13829	1
573.13830	6
573.13831	6
573.13832	6
573.13833	6
573.13834	6
573.13835	6
573.13836	6
573.13838	1
573.13839	6
573.13840	1
573.13841	6
573.13842	8
573.13843	6
573.13844	6
573.13845	6
573.13846	6
573.13847	8
573.13848	6
573.13849	0
573.13850	1
573.13851	6
573.13852	1
573.13853	6
573.13854	6
573.13855	6
573.13856	8
573.13858	6
573.13859	6
573.13860	6
573.13861	0
573.13862	1
573.13863	6
573.13864	8
573.13865	6
573.13866	6
573.13867	1
573.13868	6
573.13869	6
573.13870	6
573.13871	6
573.13872	6
573.13873	6
573.13874	6
573.13875	6
573.13876	8
573.13877	1
573.13878	8
573.13879	8
573.13880	6
573.13881	6
573.13882	6
573.13883	6
573.13884	6
573.13885	6
573.13886	6
573.13887	6
573.13888	6
573.13889	6
573.13890	6
573.13891	6
573.13892	6
573.13893	1
573.13894	6
573.13895	0
573.13896	1
573.13897	6
573.13898	6
573.13899	6
573.13900	6
