,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X39,X40,X41,X42,X44,X45,X46,X48,X49,X50,X51,X52,X53,X54,X55,X59,X66,X67,X70,X72,X73,X79,X90,X99,X110,X119,X127,X132,X137,X156,X164,X180,X183,X200,X202,X214,X217,X258,X326,X369,X820,X1178,X1883,X1968,X2039,X3218,X3381,X3395,X3451,X3586,X3618,X3690,X4006,X4165,X5517,X6115,X6682,X7904,X8268,X8335,X8401,X8424,X8487,X8488,X8493,X8496,X8564,X8678,X8699,X8734,X8800,X8806,X8809,X8900,X8935,X8960,X9000,X9117,X9313,X10775
573.13656,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13657,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13658,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13659,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13660,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl3,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13661,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl4,Cl4,Cl4,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13662,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl6,Cl6,Cl6,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl4,Cl3,Cl3,Cl3,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13663,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl7,Cl7,Cl7,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl5,Cl4,Cl4,Cl4,Cl3,Cl3,Cl3,Cl3,Cl3,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13664,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl9,Cl8,Cl8,Cl8,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl6,Cl5,Cl5,Cl3,Cl2,Cl2,Cl2,Cl2,Cl2,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
573.13665,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl10,Cl9,Cl9,Cl9,Cl8,Cl8,Cl8,Cl8,Cl8,Cl8,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl7,Cl6,Cl6,Cl5,Cl4,Cl4,Cl4,Cl4,Cl4,Cl3,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1,Cl1
